"vehicle_id","test_date","test_mileage","postcode_area","make","colour","cylinder_capacity"
936278007,2023-04-28,42480,"ML","NISSAN","ORANGE",998
858355106,2023-04-28,42340,"NE","KAWASAKI","BLACK",553
1027196372,2023-04-28,93433,"GL","FIAT","BLUE",1242
1397627616,2023-04-28,217404,"B","TOYOTA","GREY",1798
384731403,2023-05-03,4592,"DN","YAMAHA","WHITE",125
187459633,2023-05-09,6801,"CT","TRIUMPH","SILVER",765
1323680096,2023-05-04,11466,"PR","MV AGUSTA","WHITE",1078
1388586900,2023-05-16,12590,"W","YAMAHA","SILVER",124
1304986075,2023-04-28,12728,"NW","TOYOTA","GREY",1497
865526143,2023-05-03,15283,"LU","HONDA","BLACK",125
368037906,2023-05-12,15318,"LE","VOLKSWAGEN","WHITE",1915
477175463,2023-05-05,16177,"M","FORD","BLUE",1242
163777459,2023-05-04,16295,"AB","AUDI","GREY",1395
986377267,2023-05-16,16535,"DD","SUZUKI","WHITE",1242
326400007,2023-05-16,16685,"G","BMW","BLUE",1998
360352449,2023-05-15,18141,"UB","FORD","BLACK",1498
827545591,2023-05-15,20281,"NR","VOLKSWAGEN","SILVER",1968
993515720,2023-05-02,20341,"WS","YAMAHA","RED",124
1344937559,2023-05-05,20389,"DH","VOLKSWAGEN","WHITE",999
109850987,2023-05-09,27343,"BA","LAND ROVER","BLACK",1999
1373665863,2023-05-16,28036,"NE","FORD","BLUE",1498
1469569927,2023-05-09,29845,"EH","PEUGEOT","GREY",1598
1387339323,2023-05-03,30779,"RM","BMW","BLACK",1998
38930265,2023-05-05,35177,"NR","FORD","BLACK",1997
1289864277,2023-04-28,35559,"PA","RENAULT","GREY",898
1062034143,2023-05-10,37230,"DL","MERCEDES-BENZ","WHITE",2925
799340453,2023-05-04,38347,"CB","NISSAN","RED",1197
422867667,2023-05-03,38411,"KY","SEAT","GREY",1968
232587919,2023-05-09,39928,"BA","HONDA","BLACK",1318
1002793783,2023-05-03,41044,"SE","CITROEN","BLACK",1200
501026401,2023-05-10,44256,"DE","VOLKSWAGEN","SILVER",1968
1094575369,2023-04-24,52,"TF","SKODA","WHITE",1498
1097214863,2023-04-08,231,"SP","SUZUKI","SILVER",249
1344339968,2023-11-23,304,"LL","HARLEY-DAVIDSON","ORANGE",1340
598840495,2023-06-01,1047,"G","SUZUKI","BLACK",248
363442393,2023-08-19,1249,"WA","BENELLI","RED",500
733037295,2023-10-13,2129,"NW","TOYOTA","WHITE",1798
873388009,2023-08-16,2310,"CV","HONDA","GREY",125
495786127,2023-09-19,2491,"OX","KAWASAKI","RED",900
1372367605,2023-04-21,2627,"NR","HONDA","BLACK",471
811395139,2023-10-24,2714,"W","DS","YELLOW",1200
16970007,2023-02-25,3138,"S","AUDI","BLUE",1598
180266872,2023-02-06,3144,"TA","YAMASAKI","RED",125
1232654593,2023-08-17,3158,"NG","SCOMADI","BLUE",125
653149681,2023-10-17,3425,"MK","HYUNDAI","GREY",998
248983659,2023-06-10,3590,"KT","SINNIS","BLACK",50
800112787,2023-04-26,3796,"KT","MERCEDES-BENZ","BLACK",2999
1295855899,2023-08-22,4093,"BS","PIAGGIO","WHITE",278
1335364071,2023-02-02,4120,"OX","JAGUAR","GREY",1997
851810617,2023-03-31,4268,"TD","TOYOTA","WHITE",998
460764181,2023-08-21,4285,"DE","VAUXHALL","GREY",1199
1378614432,2023-06-08,4438,"WR","LML","BLUE",125
57401353,2023-11-14,4446,"CH","ROYAL ENFIELD","RED",650
1236640579,2023-09-13,4559,"IG","TOYOTA","GREY",1497
693967317,2023-03-30,5133,"SA","BMW","BRONZE",1254
644717617,2023-01-26,5413,"PR","DUCATI","RED",1103
1420433337,2023-07-26,5737,"CO","ROYAL ENFIELD","GREEN",499
626561681,2023-01-09,5900,"RM","YAMAHA","GREY",686
1120572793,2023-03-27,5928,"GL","TOYOTA","RED",1496
500554842,2023-06-12,6032,"KT","MG","RED",2912
769204719,2023-01-11,6134,"PR","VOLKSWAGEN","ORANGE",999
533121557,2023-01-25,6162,"LE","FORD","RED",1499
1172868771,2023-04-26,6267,"SL","FIAT","GREY",1368
1335229801,2023-08-22,6516,"IP","HARLEY DAVIDSON","BLACK",1690
702771953,2023-10-09,6635,"NE","PEUGEOT","BLUE",1997
311486585,2023-08-02,6787,"BS","PEUGEOT","BLUE",125
479352165,2023-12-16,6828,"NW","SMART (MCC)","BLACK",999
1411796133,2023-03-22,6892,"CH","HONDA","RED",649
682887347,2023-07-20,6932,"CH","VAUXHALL","WHITE",1398
129465439,2023-02-11,6965,"E","NISSAN","BLUE",1598
394555811,2023-09-08,7047,"WA","NISSAN","BLUE",1197
379484686,2023-09-23,7588,"CO","KAWASAKI","RED",498
367041307,2023-08-22,7616,"LS","MITSUBISHI","BLACK",2442
1461306359,2023-09-08,7681,"M","CITROEN","BLUE",1200
1349834521,2023-09-13,7865,"PL","CITROEN","RED",1199
860762155,2023-06-16,7905,"GU","TOYOTA","BLUE",1496
978279191,2023-02-20,8395,"KT","VOLKSWAGEN","BLUE",999
555012255,2023-03-09,8552,"SE","FORD","SILVER",1995
42475755,2023-06-01,8816,"AL","CITROEN","RED",2200
1351252245,2023-02-18,8835,"M","BMW","BLUE",1997
1346607115,2023-02-21,8917,"EH","TOYOTA","GREY",998
1368046704,2023-05-20,9075,"PE","KAWASAKI","BLACK",249
1187687499,2023-11-14,9337,"EH","PEUGEOT","GREY",1200
104474771,2023-04-14,9377,"BD","SKODA","BLACK",1498
406743167,2023-09-06,9526,"B","FORD","BLUE",998
1148532911,2023-04-19,9797,"SN","FIAT","GREY",2287
4679661,2023-10-12,9858,"WR","SMART (MCC)","WHITE",999
1277749717,2023-07-10,9876,"EH","FIAT","BLUE",2287
76156921,2023-04-19,10026,"CW","NISSAN","GREY",999
1000722735,2023-04-04,10131,"BH","MOTO GUZZI","YELLOW",744
147223097,2023-03-24,10203,"WN","BMW","BLUE",1170
633233339,2023-08-10,10310,"CH","VAUXHALL","BLACK",1199
1161994057,2023-08-25,10378,"CV","ASTON MARTIN","SILVER",3982
1453385589,2023-04-12,10411,"IP","LAND ROVER","BLACK",1997
777859543,2023-06-03,10417,"EH","KIA","SILVER",1353
157243741,2023-02-06,10467,"DY","DACIA","BLUE",898
1183506247,2023-11-07,10495,"WF","HONDA","RED",1498
607837791,2023-04-12,10541,"GL","PORSCHE","BLACK",3996
205799021,2023-11-06,10558,"TA","TOYOTA","BLUE",998
1286478176,2023-02-23,10568,"TN","MORGAN","RED",1999
615771215,2023-03-13,10629,"CT","DACIA","BLUE",1598
40561787,2023-03-17,10647,"GL","HONDA","SILVER",1318
437330813,2023-04-20,10665,"CT","PEUGEOT","WHITE",1200
139165813,2023-11-21,10704,"TN","TOYOTA","RED",998
937608819,2023-11-01,10783,"CV","TOYOTA","SILVER",1797
502212823,2023-10-19,10841,"NG","VOLKSWAGEN","SILVER",999
1088047131,2023-05-30,10949,"LE","VOLKSWAGEN","BLUE",1968
1463829833,2023-06-26,11170,"OL","KIA","WHITE",1248
1256441089,2023-06-05,11189,"WD","SKODA","GREY",999
474078367,2023-11-24,11312,"AB","ADRIA","WHITE",2287
941905027,2023-04-10,11377,"EH","MERCEDES-BENZ","GREY",1991
6027731,2023-06-01,11384,"DL","SUZUKI","WHITE",1242
458393907,2023-11-07,11428,"NW","MERCEDES-BENZ","BLACK",2999
495166443,2023-02-07,11468,"CV","FORD","WHITE",998
1127141157,2023-12-29,11589,"SS","FIAT","WHITE",2287
1351637572,2023-03-17,11738,"LS","FORD","WHITE",1299
1443435323,2023-12-13,11974,"ML","VOLKSWAGEN","WHITE",999
1459231221,2023-08-17,12323,"CF","FIAT","BLUE",1242
841971521,2023-03-13,12392,"N","VOLKSWAGEN","GREY",1395
192216259,2023-09-21,12413,"CW","VAUXHALL","GREY",1560
572324509,2023-05-31,12567,"HG","FIAT","WHITE",1242
840234613,2023-07-20,12572,"IG","AUDI","BLACK",1984
1136833387,2023-06-15,12691,"BN","FORD","SILVER",1596
435172187,2023-05-30,12709,"BS","VOLKSWAGEN","WHITE",999
861497635,2023-12-11,12734,"S","RENAULT","WHITE",1995
982201712,2023-02-15,12737,"HU","HYUNDAI","SILVER",1248
897018699,2023-06-02,12908,"EN","TOYOTA","GREY",1798
380894889,2023-11-13,12930,"CM","FIAT","WHITE",1242
1340650559,2023-06-27,12964,"EN","HONDA","BLACK",988
789271235,2023-11-09,13111,"NG","HONDA","GREY",1318
274415127,2023-03-17,13167,"TN","TOYOTA","YELLOW",998
1266753278,2023-07-11,13324,"CW","CHEVROLET GMC","PURPLE",5665
5346971,2023-10-19,13333,"E","LAMBORGHINI","YELLOW",5204
1367590355,2023-06-26,13340,"NR","MINI","BLACK",1499
811346413,2023-08-02,13391,"NW","VOLKSWAGEN","BLACK",999
999723247,2023-11-22,13396,"S","VOLVO","WHITE",1560
1044529533,2023-11-13,13422,"ME","CITROEN","BLUE",1499
191736187,2023-09-18,13428,"DE","MAZDA","RED",1999
1040441780,2023-02-21,13453,"N","MERCEDES-BENZ","BLUE",2148
933418192,2023-02-06,13558,"SS","BMW","GREY",1293
1455372316,2023-07-25,13562,"SE","MERCEDES-BENZ","BLACK",1498
921441927,2023-03-04,13714,"ST","RENAULT","BLACK",1198
342702689,2023-07-14,13782,"NE","MINI","BLACK",1499
